marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
JUAN VALDEZ,Café Juan Valdez Liofilizado clásico soluble x95g,24890,95,262,gr,despensa
CORN FLAKES NESTLE,Cereal Corn Flakes Nestlé sin gluten bolsa x800g,21990,1000,21.99,gr,despensa
DONA PEPA,Arroz Doña Pepa parbolizado x5000g,32490,4998,6.5,gr,despensa
LA MUNECA,Pasta Lasagna Pasta La Muñeca x 400g,10590,400,26.48,gr,despensa
DON PANCHO,Avena Don Pancho molida x500g gratis extracontenido,6790,500,13.58,gr,despensa
MUSLI,Cereal Musli cosecha roja x480g,28990,686,42.28,gr,despensa
EL REY,Canela molida El Rey x30g,5390,30,179.67,gr,despensa
CASANARE,Arroz Casanare blanco x3000g,14290,3002,4.76,gr,despensa
JUAN VALDEZ,Café Juan Valdez Liofilizado chocolate x95g,25990,95,273.58,gr,despensa
LA NOCAIMERA,Panela La Nocaimera cuadrada x1000g,6190,1000,6.19,gr,despensa
BARY,Salsa Bary bbq x 400g,6990,400,17.48,gr,despensa
FINO,Aceite Fino girasol x3000ml,49990,4287,11.66,ml,despensa
FRUCO,Mostaza Fruco x 200 g. Presentación económica,7590,286,26.57,gr,despensa
MAXIMA MP,Arroz Máxima blanco x500g,2050,500,4.1,gr,despensa
SAN REMO,Macarroncito San Remo x 250g.,1790,250,7.16,gr,despensa
BARILLA,Pasta Fettuccine Barilla x500g,18590,500,37.18,gr,despensa
MAGGI,Crema Maggi pollo con champiñones x75g,3390,75,45.2,gr,despensa
LA MUNECA,Pasta Spaghetti Pastas La muñeca x250g,2490,250,9.96,gr,despensa
HINDU,Té Hindú caja x 25 bolsas,6190,40,154.75,gr,despensa
DORIA,Pasta Clásica Letras Doria x 250 g.,2590,250,10.36,gr,despensa
QUAKER,Avena Quaker instantánea vainilla doypack x300g,8990,300,29.97,gr,despensa
FROOT LOOPS,Cereal Froot Loops bolsa x210g,12390,300,41.3,gr,despensa
CLIGHT,Refresco instantaneo Clight fresa x14g,2190,14,156.43,gr,despensa
RICA,Salchichas Viena de Res Rica x 3 und.x 150 g.,10990,450,24.42,gr,despensa
MAXIMA MP,Chocolate de mesa Máxima con azúcar tradicional x500g,6390,500,12.78,gr,despensa
LA NIEVE,Fideo La Nieve x250 g,1450,250,5.8,gr,despensa
LA MUNECA,Pasta Concha Pastas La Muñeca x500g,4190,500,8.38,gr,despensa
ZUCARITAS,Cereal Zucaritas x680g + Cereal Froot Loops x210g,26590,972,27.37,gr,despensa
CASTELLANO,Arroz Castellano Premium integral x1000g,10990,1250,8.79,gr,despensa
FRUCO,Salsa de soya Fruco x 154 ml,5790,264,21.91,gr,despensa
LA CONSTANCIA,Mostaneza Dp x 380g La Constancia,11990,380,31.55,gr,despensa
VAN CAMPS,Atún Van Camps lomitos aceite oliva finas hierbas 3 unidades x80g c/u,18590,100,185.9,gr,despensa
CLIGHT,Refresco instantaneo Clight piña x14g,2190,14,156.43,gr,despensa
MAIZENA,Mezcla Maizena buñuelos x300g,7590,429,17.71,gr,despensa
OLEOSANDER,Aceite Oleosander x900ml,10990,900,12.21,ml,despensa
SUPREMO,Arroz Supremo x1000g,4990,1000,4.99,gr,despensa
JUAN VALDEZ,Café Juan Valdez Liofilizado descafeinado x95g,25990,95,273.58,gr,despensa
REFISAL,Sal marina Refisal x800g,5390,800,6.74,gr,despensa
LA CONSTANCIA,Pasta de Tomate La Constancia doypack x 200g,7590,200,37.95,gr,despensa
