marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
BRETANA,of Bretana PG10LL12 BRETANA 3600 ml,19650,3599,5.46,ML,despensa
LA CONSTANCIA,SALSA TOMATE LA CONSTANCIA 1000 gr,13550,1000,13.55,gr,despensa
NESCAFE,Cafe Instantaneo Tradición NESCAFE 50 gr,7192,50,143.84,gr,despensa
DIANA,Arroz Premium DIANA 2500 gr,17350,2500,6.94,gr,despensa
CANOLA LIFE,ESPARCIBLE X454 GRS CANOLA LIFE 454 gr,10965,454,24.15,gr,despensa
SALTIN NOEL,GALLETAS TACO EXTRALARGO SALTIN NOEL 300 gr,4480,300,14.93,gr,despensa
HIT,Refresco de Mora Pet HIT 500 Mililitro,2240,500,4.48,ML,despensa
QUAKER,Avena en hojuelas original QUAKER 350 gr,8070,350,23.06,gr,despensa
BRISA,Agua Bidón Sin gas BRISA 6000 ml,7880,6015,1.31,ML,despensa
ALPINA,Mantequilla sin sal ALPINA 250 gr,13250,250,53,gr,despensa
TAEQ,Bebida de almendra sin azúcar TAEQ 1000 ml,7890,1000,7.89,ML,despensa
LA FINA,MARGARINA BARRA LA FINA 500 gr,9430,500,18.86,gr,despensa
KOLA ROMAN,Bebida Gaseosa sin Azucar KOLA ROMAN 1.5 ml,2850,1500,1.9,ML,despensa
ZENU,ARVEJA CON ZANAHORIA LATA ZENU 300 gr,3456,190,18.19,gr,despensa
HIT,Refresco Frutas Tropicales Pet HIT 500 Mililitro,2360,500,4.72,ML,despensa
REFISAL,Sal Marina REFISAL 800 gr,5420,799,6.78,gr,despensa
YELI MARCA EXCLUSIVA,ATUN LOMITOS AGUA YELI MARCA EXCLUSIVA 170 Gramo,6270,111,56.74,gr,despensa
VAN CAMPS,Atún baby en aceite de oliva VAN CAMPS 240 gr,14000,156,89.74,gr,despensa
CORONA,Chocolate Cyc B,6480,500,12.96,gr,despensa
ALPINA,Queso Crema Cremosino X200 Grs ALPINA 200 gr,5950,200,29.75,gr,despensa
FRESCAMPO,SALSA DE TOMATE DOY PACK FRESCAMPO 500 gr,3980,500,7.96,gr,despensa
GOURMET,Aceite Familia Multiusos GOURMET 900 ml,19350,900,21.5,ML,despensa
RIOPAILA,Azucar Blanco RIOPAILA 2500 gr,11850,2500,4.74,gr,despensa
DORIA,Pasta Clásica Fideo X 250 gr,2060,250,8.24,gr,despensa
ALPINA,Mantequilla sal ALPINA 250 gr,12350,250,49.4,gr,despensa
